List,ItemID,Condition,Group,Type,Narrative,CompQuestion,CompAnswer
A,N01,SEM_FRONTEIRA,G1,main,"A bióloga abriu o caderno, conferiu as anotações, ajustou o microscópio, observou a lâmina, registrou os dados e guardou o material.",,
A,N02,COM_FRONTEIRA,G2,main,"O marceneiro escolheu a madeira, mediu as tábuas, cortou as peças, em outro projeto viajou para uma feira, assistiu a palestras e comprou ferramentas.",,
A,N03,SEM_FRONTEIRA,G3,main,"A professora abriu o editor, preparou os slides, inseriu exemplos, revisou o conteúdo, enviou o arquivo e testou o projetor.",,
A,N04,COM_FRONTEIRA,G4,main,"O fotógrafo ajustou a lente, checou o foco, alterou o ISO, ao anoitecer participou de uma reunião, anotou tarefas e saiu do estúdio.",,
A,N05,SEM_FRONTEIRA,G1,main,"A redatora abriu o documento, esboçou o título, criou a estrutura, refinou os parágrafos, revisou a gramática e publicou o texto.",,
A,N06,COM_FRONTEIRA,G2,main,"O técnico ligou o servidor, verificou serviços, atualizou pacotes, em casa preparou o jantar, assistiu a um filme e foi dormir.",,
A,N07,SEM_FRONTEIRA,G3,main,"A bióloga abriu o caderno, conferiu as anotações, ajustou o microscópio, observou a lâmina, registrou os dados e guardou o material.",,
A,N08,COM_FRONTEIRA,G4,main,"O marceneiro escolheu a madeira, mediu as tábuas, cortou as peças, em outro projeto viajou para uma feira, assistiu a palestras e comprou ferramentas.",,
A,N09,SEM_FRONTEIRA,G1,main,"A professora abriu o editor, preparou os slides, inseriu exemplos, revisou o conteúdo, enviou o arquivo e testou o projetor.",,
A,N10,COM_FRONTEIRA,G2,main,"O fotógrafo ajustou a lente, checou o foco, alterou o ISO, ao anoitecer participou de uma reunião, anotou tarefas e saiu do estúdio.",,
A,N11,SEM_FRONTEIRA,G3,main,"A redatora abriu o documento, esboçou o título, criou a estrutura, refinou os parágrafos, revisou a gramática e publicou o texto.",,
A,N12,COM_FRONTEIRA,G4,main,"O técnico ligou o servidor, verificou serviços, atualizou pacotes, em casa preparou o jantar, assistiu a um filme e foi dormir.",,
A,N13,SEM_FRONTEIRA,G1,main,"A bióloga abriu o caderno, conferiu as anotações, ajustou o microscópio, observou a lâmina, registrou os dados e guardou o material.",,
A,N14,COM_FRONTEIRA,G2,main,"O marceneiro escolheu a madeira, mediu as tábuas, cortou as peças, em outro projeto viajou para uma feira, assistiu a palestras e comprou ferramentas.",,
A,N15,SEM_FRONTEIRA,G3,main,"A professora abriu o editor, preparou os slides, inseriu exemplos, revisou o conteúdo, enviou o arquivo e testou o projetor.",,
A,N16,COM_FRONTEIRA,G4,main,"O fotógrafo ajustou a lente, checou o foco, alterou o ISO, ao anoitecer participou de uma reunião, anotou tarefas e saiu do estúdio.",,
A,N17,SEM_FRONTEIRA,G1,main,"A redatora abriu o documento, esboçou o título, criou a estrutura, refinou os parágrafos, revisou a gramática e publicou o texto.",,
A,N18,COM_FRONTEIRA,G2,main,"O técnico ligou o servidor, verificou serviços, atualizou pacotes, em casa preparou o jantar, assistiu a um filme e foi dormir.",,
A,N19,SEM_FRONTEIRA,G3,main,"A bióloga abriu o caderno, conferiu as anotações, ajustou o microscópio, observou a lâmina, registrou os dados e guardou o material.",,
A,N20,COM_FRONTEIRA,G4,main,"O marceneiro escolheu a madeira, mediu as tábuas, cortou as peças, em outro projeto viajou para uma feira, assistiu a palestras e comprou ferramentas.",,
A,N21,SEM_FRONTEIRA,G1,main,"A professora abriu o editor, preparou os slides, inseriu exemplos, revisou o conteúdo, enviou o arquivo e testou o projetor.",,
A,N22,COM_FRONTEIRA,G2,main,"O fotógrafo ajustou a lente, checou o foco, alterou o ISO, ao anoitecer participou de uma reunião, anotou tarefas e saiu do estúdio.",,
A,N23,SEM_FRONTEIRA,G3,main,"A redatora abriu o documento, esboçou o título, criou a estrutura, refinou os parágrafos, revisou a gramática e publicou o texto.",,
A,N24,COM_FRONTEIRA,G4,main,"O técnico ligou o servidor, verificou serviços, atualizou pacotes, em casa preparou o jantar, assistiu a um filme e foi dormir.",,
A,N25,SEM_FRONTEIRA,G1,main,"A bióloga abriu o caderno, conferiu as anotações, ajustou o microscópio, observou a lâmina, registrou os dados e guardou o material.",,
A,N26,COM_FRONTEIRA,G2,main,"O marceneiro escolheu a madeira, mediu as tábuas, cortou as peças, em outro projeto viajou para uma feira, assistiu a palestras e comprou ferramentas.",,
A,N27,SEM_FRONTEIRA,G3,main,"A professora abriu o editor, preparou os slides, inseriu exemplos, revisou o conteúdo, enviou o arquivo e testou o projetor.",,
A,N28,COM_FRONTEIRA,G4,main,"O fotógrafo ajustou a lente, checou o foco, alterou o ISO, ao anoitecer participou de uma reunião, anotou tarefas e saiu do estúdio.",,
A,N29,SEM_FRONTEIRA,G1,main,"A redatora abriu o documento, esboçou o título, criou a estrutura, refinou os parágrafos, revisou a gramática e publicou o texto.",,
A,N30,COM_FRONTEIRA,G2,main,"O técnico ligou o servidor, verificou serviços, atualizou pacotes, em casa preparou o jantar, assistiu a um filme e foi dormir.",,
A,F01,FILLER,G4,main,"O carteiro ajustou a bolsa, tocou a campainha, entregou duas cartas, anotou o número, sorriu para o morador e seguiu a rota.",,
A,F02,FILLER,G4,main,"A cozinheira lavou os legumes, cortou as cenouras, refogou a cebola, temperou o caldo, ajustou o sal e serviu a sopa.",,
A,F03,FILLER,G4,main,"O carteiro ajustou a bolsa, tocou a campainha, entregou duas cartas, anotou o número, sorriu para o morador e seguiu a rota.",,
A,F04,FILLER,G4,main,"A cozinheira lavou os legumes, cortou as cenouras, refogou a cebola, temperou o caldo, ajustou o sal e serviu a sopa.",,
A,F05,FILLER,G4,main,"O carteiro ajustou a bolsa, tocou a campainha, entregou duas cartas, anotou o número, sorriu para o morador e seguiu a rota.",,
A,F06,FILLER,G4,main,"A cozinheira lavou os legumes, cortou as cenouras, refogou a cebola, temperou o caldo, ajustou o sal e serviu a sopa.",,
A,F07,FILLER,G4,main,"O carteiro ajustou a bolsa, tocou a campainha, entregou duas cartas, anotou o número, sorriu para o morador e seguiu a rota.",,
A,F08,FILLER,G4,main,"A cozinheira lavou os legumes, cortou as cenouras, refogou a cebola, temperou o caldo, ajustou o sal e serviu a sopa.",,
A,F09,FILLER,G4,main,"O carteiro ajustou a bolsa, tocou a campainha, entregou duas cartas, anotou o número, sorriu para o morador e seguiu a rota.",,
A,F10,FILLER,G4,main,"A cozinheira lavou os legumes, cortou as cenouras, refogou a cebola, temperou o caldo, ajustou o sal e serviu a sopa.",,
A,C01,CHECK,G2,check,"O pesquisador abriu a porta, entrou no laboratório, ligou as luzes, checou o cronograma, separou amostras e iniciou o teste.","Na narrativa, o pesquisador entrou no laboratório?",S
A,C02,CHECK,G3,check,"A atleta amarrou o tênis, alongou-se rapidamente, ajustou o relógio, começou a corrida, manteve o ritmo e cruzou a linha de chegada.",A atleta praticou natação na narrativa?,N
A,C03,CHECK,G1,check,"O pesquisador abriu a porta, entrou no laboratório, ligou as luzes, checou o cronograma, separou amostras e iniciou o teste.","Na narrativa, o pesquisador entrou no laboratório?",S
A,C04,CHECK,G2,check,"A atleta amarrou o tênis, alongou-se rapidamente, ajustou o relógio, começou a corrida, manteve o ritmo e cruzou a linha de chegada.",A atleta praticou natação na narrativa?,N
A,C05,CHECK,G3,check,"O pesquisador abriu a porta, entrou no laboratório, ligou as luzes, checou o cronograma, separou amostras e iniciou o teste.","Na narrativa, o pesquisador entrou no laboratório?",S
B,N01,COM_FRONTEIRA,G1,main,"A bióloga abriu o caderno, conferiu as anotações, ajustou o microscópio, meses depois visitou a exposição de arte, conversou com amigos e voltou para casa.",,
B,N02,SEM_FRONTEIRA,G2,main,"O marceneiro escolheu a madeira, mediu as tábuas, cortou as peças, lixou as bordas, montou a estrutura e aplicou o verniz.",,
B,N03,COM_FRONTEIRA,G3,main,"A professora abriu o editor, preparou os slides, inseriu exemplos, no fim de semana foi à praia, encontrou colegas e voltou revigorada.",,
